[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m ]
1.03903398e-01, 5.52929688e+03
1.04103595e-01, 5.53841455e+03
1.04303792e-01, 5.54758447e+03
1.04503989e-01, 5.55680859e+03
1.04704186e-01, 5.56608594e+03
1.04904383e-01, 5.57541699e+03
1.05104581e-01, 5.58480420e+03
1.05304778e-01, 5.59424609e+03
1.05504975e-01, 5.60399023e+03
1.05705172e-01, 5.61330029e+03
1.05905369e-01, 5.62291113e+03
1.06105566e-01, 5.63258203e+03
1.06305763e-01, 5.64231006e+03
1.06505960e-01, 5.65209961e+03
1.06706157e-01, 5.66194580e+03
1.06906354e-01, 5.67185352e+03
1.07106552e-01, 5.68182324e+03
1.07306749e-01, 5.69185205e+03
1.07506946e-01, 5.70194482e+03
1.07707143e-01, 5.71210010e+03
1.07907340e-01, 5.72231885e+03
1.08107537e-01, 5.73260352e+03
1.08307734e-01, 5.74295166e+03
1.08507931e-01, 5.75336475e+03
1.08708128e-01, 5.76384570e+03
1.08908325e-01, 5.77439258e+03
1.09108523e-01, 5.78500879e+03
1.09308720e-01, 5.79569189e+03
1.09508917e-01, 5.80644678e+03
1.09709114e-01, 5.81727002e+03
1.09909311e-01, 5.82816455e+03
1.10109508e-01, 5.83912939e+03
1.10309705e-01, 5.85016895e+03
1.10509902e-01, 5.86128027e+03
1.10710099e-01, 5.87246582e+03
1.10910296e-01, 5.88372803e+03
1.11110494e-01, 5.89506592e+03
1.11310691e-01, 5.90203760e+03
1.11510888e-01, 5.90098193e+03
1.11711085e-01, 5.89992725e+03
1.11911282e-01, 5.89887402e+03
1.12111479e-01, 5.89781982e+03
1.12311676e-01, 5.89676758e+03
1.12511873e-01, 5.89571533e+03
1.12712070e-01, 5.89466406e+03
1.12912267e-01, 5.89361377e+03
1.13112465e-01, 5.89256348e+03
1.13312662e-01, 5.89151367e+03
1.13512859e-01, 5.89147607e+03
1.13713056e-01, 5.89281592e+03
1.13913253e-01, 5.89662549e+03
1.14113450e-01, 5.90267627e+03
1.14313647e-01, 5.90991260e+03
1.14513844e-01, 5.92177295e+03
1.14714041e-01, 5.93372021e+03
1.14914238e-01, 5.94575098e+03
1.15114436e-01, 5.95786768e+03
1.15314633e-01, 5.97007129e+03
1.15514830e-01, 5.98236230e+03
1.15715027e-01, 5.99474268e+03
1.15915224e-01, 6.00721143e+03
1.16115421e-01, 6.01977441e+03
1.16315618e-01, 6.03242822e+03
1.16515815e-01, 6.04517578e+03
1.16716012e-01, 6.05801660e+03
1.16916209e-01, 6.07095605e+03
1.17116407e-01, 6.08399219e+03
1.17316604e-01, 6.09712598e+03
1.17516801e-01, 6.11035986e+03
1.17716998e-01, 6.12369385e+03
1.17917195e-01, 6.13713281e+03
1.18117392e-01, 6.15067383e+03
1.18317589e-01, 6.16431787e+03
1.18517786e-01, 6.17807227e+03
1.18717983e-01, 6.19191748e+03
1.18918180e-01, 6.20563477e+03
1.19118378e-01, 6.21945752e+03
1.19318575e-01, 6.23339111e+03
1.19518772e-01, 6.24743311e+03
1.19718969e-01, 6.26158691e+03
1.19919166e-01, 6.27585400e+03
1.20119363e-01, 6.29023535e+03
1.20319560e-01, 6.30473145e+03
1.20519757e-01, 6.31934570e+03
1.20719954e-01, 6.33407861e+03
1.20920151e-01, 6.34893359e+03
1.21120349e-01, 6.36391162e+03
1.21320546e-01, 6.37901318e+03
1.21520743e-01, 6.39424072e+03
1.21720940e-01, 6.41212646e+03
1.21921137e-01, 6.43171533e+03
1.22121334e-01, 6.45151563e+03
1.22321531e-01, 6.47153076e+03
1.22521728e-01, 6.49176514e+03
1.22721925e-01, 6.51222266e+03
1.22922122e-01, 6.53290771e+03
1.23122320e-01, 6.55382373e+03
1.23322517e-01, 6.57497607e+03
1.23522714e-01, 6.59636963e+03
1.23722911e-01, 6.61800830e+03
1.23923108e-01, 6.63989893e+03
1.24123305e-01, 6.66204443e+03
1.24323502e-01, 6.68445020e+03
1.24523699e-01, 6.70712305e+03
1.24723896e-01, 6.72451416e+03
1.24924093e-01, 6.73451270e+03
1.25124291e-01, 6.74305713e+03
1.25324488e-01, 6.74516602e+03
1.25524685e-01, 6.74727539e+03
1.25724882e-01, 6.74939014e+03
1.25925079e-01, 6.75150537e+03
1.26125276e-01, 6.75362256e+03
1.26325473e-01, 6.75574365e+03
1.26525670e-01, 6.75786426e+03
1.26725867e-01, 6.75998926e+03
1.26926064e-01, 6.76211670e+03
1.27126262e-01, 6.76424561e+03
1.27326459e-01, 6.76637793e+03
1.27526656e-01, 6.76851221e+03
1.27726853e-01, 6.77064844e+03
1.27927050e-01, 6.77278760e+03
1.28127247e-01, 6.77492969e+03
1.28327444e-01, 6.77707227e+03
1.28527641e-01, 6.77921973e+03
1.28727838e-01, 6.78136670e+03
1.28928035e-01, 6.78351855e+03
1.29128233e-01, 6.78559521e+03
1.29328430e-01, 6.80087402e+03
1.29528627e-01, 6.81626074e+03
1.29728824e-01, 6.83176758e+03
1.29929021e-01, 6.84739941e+03
1.30129218e-01, 6.86315869e+03
1.30329415e-01, 6.87904443e+03
1.30529612e-01, 6.89506055e+03
1.30729809e-01, 6.91120703e+03
1.30930007e-01, 6.92748584e+03
1.31130204e-01, 6.94390039e+03
1.31330401e-01, 6.96045215e+03
1.31530598e-01, 6.97428906e+03
1.31730795e-01, 6.97811768e+03
1.31930992e-01, 6.98195459e+03
1.32131189e-01, 6.98579883e+03
1.32331386e-01, 6.98964941e+03
1.32531583e-01, 6.99350830e+03
1.32731780e-01, 6.99737451e+03
1.32931978e-01, 7.00124756e+03
1.33132175e-01, 7.00512793e+03
1.33332372e-01, 7.00901709e+03
1.33532569e-01, 7.01291357e+03
1.33732766e-01, 7.01681787e+03
1.33932963e-01, 7.02072900e+03
1.34133160e-01, 7.02464697e+03
1.34333357e-01, 7.02857520e+03
1.34533554e-01, 7.03250928e+03
1.34733751e-01, 7.03645166e+03
1.34933949e-01, 7.04040234e+03
1.35134146e-01, 7.04435889e+03
1.35334343e-01, 7.04832471e+03
1.35534540e-01, 7.05229736e+03
1.35734737e-01, 7.05627881e+03
1.35934934e-01, 7.06043604e+03
1.36135131e-01, 7.06621240e+03
1.36335328e-01, 7.07200928e+03
1.36535525e-01, 7.07782080e+03
1.36735722e-01, 7.08365039e+03
1.36935920e-01, 7.08949512e+03
1.37136117e-01, 7.09535693e+03
1.37336314e-01, 7.10123730e+03
1.37536511e-01, 7.10713281e+03
1.37736708e-01, 7.11304590e+03
1.37936905e-01, 7.11897803e+03
1.38137102e-01, 7.12492627e+03
1.38337299e-01, 7.13089111e+03
1.38537496e-01, 7.13687500e+03
1.38737693e-01, 7.14287598e+03
1.38937891e-01, 7.14889502e+03
1.39138088e-01, 7.15492969e+03
1.39338285e-01, 7.16098486e+03
1.39538482e-01, 7.16705713e+03
1.39738679e-01, 7.17314746e+03
1.39938876e-01, 7.17925537e+03
1.40139073e-01, 7.18538184e+03
1.40339270e-01, 7.19152588e+03
1.40539467e-01, 7.20424023e+03
1.40739664e-01, 7.22739063e+03
1.40939862e-01, 7.25080469e+03
1.41140059e-01, 7.27448438e+03
1.41340256e-01, 7.29844043e+03
1.41540453e-01, 7.32267236e+03
1.41740650e-01, 7.34718848e+03
1.41940847e-01, 7.35084961e+03
1.42141044e-01, 7.34848242e+03
1.42341241e-01, 7.34611816e+03
1.42541438e-01, 7.34375732e+03
1.42741635e-01, 7.34139795e+03
1.42941833e-01, 7.33904102e+03
